text,sentiment
"Os instrutores são muito atenciosos e motivadores","positive"
"A estrutura da academia é excelente","positive"
"Sempre sou bem recebido na recepção","positive"
"Os equipamentos são modernos e bem conservados","positive"
"As aulas de funcional são sensacionais","positive"
"Gosto muito do ambiente, é bem limpo","positive"
"A energia da academia me motiva todos os dias","positive"
"A professora de pilates é maravilhosa","positive"
"Ambiente acolhedor e profissionais incríveis","positive"
"A musculação está me fazendo muito bem, recomendo","positive"
"Super recomendo, minha qualidade de vida melhorou","positive"
"A academia está sempre cheirosa e organizada","positive"
"O app de agendamento funciona perfeitamente","positive"
"Melhorei minha postura graças às aulas","positive"
"A variedade de equipamentos é ótima","positive"
"Personal trainers são muito preparados","positive"
"A música ambiente anima bastante","positive"
"Atendimento excelente desde o primeiro dia","positive"
"O horário de funcionamento é muito conveniente","positive"
"As avaliações físicas são bem detalhadas","positive"
"A limpeza é impecável, mesmo nos horários de pico","positive"
"Profissionais atentos e preocupados com a execução","positive"
"Me sinto muito bem treinando aqui","positive"
"Ambiente seguro e com boa ventilação","positive"
"O espaço para alongamento é ótimo","positive"
"Gosto da diversidade de aulas oferecidas","positive"
"Tenho tido ótimos resultados desde que entrei","positive"
"A equipe é muito prestativa","positive"
"As aulas coletivas têm excelente didática","positive"
"A estrutura de spinning é de ponta","positive"
"Desde que entrei, não falto mais aos treinos","positive"
"Os instrutores corrigem com muita paciência","positive"
"Meus treinos evoluíram muito aqui","positive"
"A localização é ótima e tem estacionamento","positive"
"O ambiente é leve e sem julgamentos","positive"
"Rapaz, hoje foi massa demais, a aula de funcional me animou logo cedo!","positive"
"O professor é gente boa e pega leve com a galera que tá começando.","positive"
"Achei arretado o treino novo, suei que só, mas valeu a pena!","positive"
"O pessoal da recepção é um amor, tratam a gente que nem rei.","positive"
"Finalmente consegui fazer agachamento direito, graças ao instrutor que explicou direitinho.","positive"
"A música animada me deu gás, nem vi o tempo passar.","positive"
"Gostei da aula de dança, foi divertido demais, parecia até festa!","positive"
"O ambiente tá limpo e cheirosinho, dá gosto treinar.","positive"
"Me senti acolhido desde que cheguei, o clima é massa.","positive"
"Tava sem motivação, mas o instrutor me botou pra cima!","positive"
"O treino funcional tá top demais, já tô sentindo diferença.","positive"
"O sistema de agendamento é prático, gostei da facilidade.","positive"
"As luzes e decoração nova deixaram o ambiente mais animado.","positive"
"O alongamento guiado é uma maravilha, saio renovado.","positive"
"O novo horário da aula de bike foi perfeito pra minha rotina.","positive"
"Usei o app novo pra agendar a aula e foi de boa, bem rápido.","positive"
"Rapaz, agora com esse aplicativo ficou mais fácil ver os horários, viu?","positive"
"Achei massa que o app avisa a hora do treino com notificação.","positive"
"Aula de abdominal foi puxada, mas no final me senti realizado.","positive"
"Fui atendido no suporte pelo chat do app e resolveram rápido, gostei.","positive"
"O professor de cross hoje deu um gás bom, saí animado.","positive"
